Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1988-1989,"Chris Morris",SF,23,NJN,76,2096,15.00,0.5280,0.1930,0.2810,9.70,11.50,10.50,8.80,2.30,1.70,15.70,23.60,0.80,2.00,2.80,0.0640,0.0000,-0.3000,-0.3000,0.9000
1989-1990,"Chris Morris",SF,24,NJN,80,2449,14.80,0.4930,0.1810,0.2970,7.90,10.60,9.20,9.50,2.60,1.90,13.30,22.80,0.50,2.10,3.20,0.0620,0.3000,0.3000,0.6000,1.6000
1985-1986,"Chris Mullin*",SG,22,GSW,55,1391,16.00,0.5390,0.0440,0.3400,3.20,5.90,4.50,10.50,2.30,0.90,9.50,22.20,2.30,0.60,2.90,0.1000,0.3000,-0.1000,0.3000,0.8000
1986-1987,"Chris Mullin*",SG,23,GSW,82,2377,15.80,0.5800,0.0680,0.3510,1.80,6.60,4.20,15.90,1.90,0.90,12.60,20.80,4.00,1.20,5.20,0.1040,0.8000,0.0000,0.7000,1.6000
1987-1988,"Chris Mullin*",SF,24,GSW,60,2033,19.80,0.5800,0.1050,0.2920,3.10,8.30,5.60,22.10,2.60,0.90,13.00,23.90,4.10,1.00,5.10,0.1210,3.3000,-0.1000,3.2000,2.7000
1988-1989,"Chris Mullin*",SF,25,GSW,82,3093,21.90,0.5810,0.0610,0.3390,4.90,10.70,7.80,20.10,2.50,0.70,13.60,26.60,7.50,3.10,10.60,0.1650,3.7000,0.3000,4.0000,4.7000
1989-1990,"Chris Mullin*",SF,26,GSW,78,2830,22.70,0.6430,0.1840,0.4470,5.20,12.00,8.70,17.50,2.00,0.90,13.60,24.80,8.90,2.10,10.20,0.1740,5.6000,-0.7000,5.0000,5.0000
1987-1988,"Chris Washburn",C,22,ATL,29,174,12.20,0.4820,0.0000,0.4690,12.10,23.20,17.60,2.30,1.10,2.80,14.50,16.70,0.00,0.30,0.30,0.0700,-2.6000,-1.4000,-3.9000,-0.1000
1986-1987,"Chris Washburn",C,21,GSW,35,385,5.40,0.3940,0.0070,0.3520,10.10,18.70,14.40,5.60,0.70,1.20,18.90,21.60,-1.10,0.30,-0.80,-0.1000,-6.5000,-2.5000,-9.0000,-0.7000
1987-1988,"Chris Washburn",C,22,GSW,8,86,8.30,0.4650,0.0000,0.2500,11.30,14.60,12.90,4.90,0.50,0.00,16.50,20.00,-0.10,0.00,-0.10,-0.0360,-3.1000,-4.1000,-7.2000,-0.1000
1987-1988,"Chris Washburn",C,22,TOT,37,260,10.90,0.4750,0.0000,0.3830,11.80,20.30,16.00,3.20,0.90,1.90,15.20,17.80,-0.10,0.30,0.20,0.0350,-2.8000,-2.3000,-5.0000,-0.2000
1989-1990,"Chris Welp",C,26,GSW,14,142,9.60,0.5200,0.0000,0.6050,8.70,17.90,13.50,3.60,1.60,3.10,15.80,16.00,0.00,2.10,0.20,0.0560,-4.9000,-0.1000,-5.0000,-0.1000
1987-1988,"Chris Welp",C,24,PHI,10,132,12.40,0.6170,0.0000,0.5810,9.60,11.50,10.60,5.60,1.90,2.30,18.80,15.30,0.20,0.10,0.30,0.0990,-2.6000,0.2000,-2.3000,0.0000
1988-1989,"Chris Welp",C,25,PHI,72,843,8.70,0.4840,0.0050,0.3290,7.80,17.90,12.80,4.50,1.30,2.80,14.20,14.60,0.00,0.70,0.70,0.0420,-4.8000,0.1000,-4.7000,-0.6000
1989-1990,"Chris Welp",C,26,SAS,13,56,-1.90,0.3140,0.0000,0.0870,14.50,9.80,12.10,12.20,0.90,0.00,20.10,22.10,-0.20,2.10,-0.10,-0.1210,-13.1000,-2.9000,-16.0000,-0.2000
1989-1990,"Chris Welp",C,26,TOT,27,198,6.30,0.4510,0.0000,0.4100,10.30,15.60,13.10,6.10,1.40,2.20,17.20,17.80,-0.20,2.10,0.00,0.0060,-7.2000,-0.9000,-8.1000,-0.3000
1982-1983,"Chubby Cox",SG,27,WSB,7,78,1.60,0.3660,0.0540,0.1620,9.80,4.30,7.10,11.50,0.00,0.70,18.50,25.90,-0.30,0.10,-0.20,-0.1270,-5.4000,-1.1000,-6.6000,-0.2000
1984-1985,"Chuck Aleksinas",C,25,GSW,74,1114,9.10,0.5090,0.0030,0.2230,8.10,20.10,13.60,4.40,0.60,0.80,16.30,15.60,0.10,0.40,0.40,0.0190,-3.8000,-1.9000,-5.6000,-1.0000
1985-1986,"Chuck Nevitt",C,26,DET,25,101,12.70,0.4780,0.0000,0.6250,10.30,16.10,13.10,6.00,0.90,9.40,14.60,18.50,0.00,0.20,0.20,0.0910,-5.4000,3.2000,-2.1000,0.0000
1986-1987,"Chuck Nevitt",C,27,DET,41,267,10.30,0.5170,0.0000,0.3810,14.90,18.40,16.70,1.90,1.20,6.50,22.20,14.30,0.00,0.50,0.50,0.0880,-5.7000,2.3000,-3.4000,-0.1000
1987-1988,"Chuck Nevitt",C,28,DET,17,63,6.60,0.3600,0.0000,0.2860,7.30,24.20,16.00,0.00,0.80,4.70,7.80,16.90,-0.10,0.10,0.00,0.0180,-7.0000,-0.4000,-7.4000,-0.1000
1982-1983,"Chuck Nevitt",C,23,HOU,6,64,14.80,0.6860,0.0000,0.2670,9.40,19.60,14.20,0.00,0.70,10.40,29.50,14.80,0.00,0.10,0.10,0.0570,-3.9000,1.2000,-2.7000,0.0000
1988-1989,"Chuck Nevitt",C,29,HOU,43,228,8.10,0.4710,0.0000,0.2580,8.10,22.10,15.20,1.80,1.00,7.50,24.20,16.10,-0.40,0.50,0.10,0.0220,-7.0000,2.4000,-4.5000,-0.1000
1989-1990,"Chuck Nevitt",C,30,HOU,3,9,12.10,1.0000,0.0000,0.0000,0.00,34.60,17.60,16.90,0.00,6.50,50.00,18.00,0.00,2.10,0.00,0.0370,-6.9000,9.3000,2.3000,0.0000
1984-1985,"Chuck Nevitt",C,25,LAL,11,59,2.10,0.2920,0.0000,0.4710,10.70,26.40,19.30,5.60,0.00,13.70,32.80,20.90,-0.30,0.10,-0.20,-0.1580,-14.8000,3.1000,-11.7000,-0.1000
1985-1986,"Chuck Nevitt",C,26,LAL,4,25,5.40,0.3670,0.0000,0.5450,14.30,17.30,15.90,9.40,3.70,4.40,26.80,30.10,-0.10,0.10,-0.10,-0.1370,-11.5000,0.1000,-11.4000,-0.1000
1985-1986,"Chuck Nevitt",C,26,TOT,29,126,11.20,0.4500,0.0000,0.6050,11.10,16.40,13.70,6.70,1.50,8.40,18.10,20.80,-0.10,0.20,0.10,0.0460,-6.6000,2.6000,-4.0000,-0.1000
1986-1987,"Chuck Person",SF,22,IND,82,2956,15.60,0.5180,0.1020,0.2190,6.10,19.20,12.50,15.30,1.50,0.30,12.40,24.00,1.50,3.90,5.40,0.0880,0.4000,-0.1000,0.3000,1.7000
1987-1988,"Chuck Person",SF,23,IND,79,2807,13.90,0.5010,0.1410,0.1570,6.70,14.20,10.50,16.50,1.30,0.20,13.60,23.30,0.60,2.80,3.30,0.0570,0.3000,-0.7000,-0.4000,1.1000
1988-1989,"Chuck Person",SF,24,IND,80,3012,15.20,0.5440,0.1410,0.2110,5.60,13.00,9.50,15.60,1.30,0.30,16.20,26.30,1.40,1.70,3.00,0.0480,0.4000,-1.5000,-1.1000,0.7000
1989-1990,"Chuck Person",SF,25,IND,77,2714,16.60,0.5570,0.2040,0.2170,5.70,13.10,9.60,13.50,1.00,0.40,11.10,24.40,4.10,2.10,5.40,0.0960,2.0000,-2.0000,-0.1000,1.3000
1989-1990,"Chucky Brown",SF,21,CLE,75,1339,11.90,0.5250,0.0160,0.3670,6.90,12.50,9.70,5.70,1.20,1.20,11.70,19.00,0.90,2.10,2.20,0.0780,-3.0000,-0.6000,-3.6000,-0.6000
1980-1981,"Clarence Kea",PF,21,DAL,16,199,17.30,0.5400,0.0120,0.7650,15.40,23.10,19.10,4.00,1.50,0.30,12.90,26.10,0.30,0.20,0.50,0.1200,-1.7000,-1.7000,-3.4000,-0.1000
1981-1982,"Clarence Kea",PF,22,DAL,35,248,11.00,0.6000,0.0000,0.8570,11.60,16.70,14.00,7.50,0.80,0.70,19.20,13.90,0.40,0.10,0.50,0.0970,-3.1000,-0.6000,-3.6000,-0.1000
1982-1983,"Clark Kellogg",PF,21,IND,81,2761,20.30,0.5160,0.0130,0.2480,12.60,21.30,16.80,11.70,2.40,0.90,12.10,25.50,4.40,2.40,6.80,0.1190,2.1000,-1.2000,0.9000,2.0000
1983-1984,"Clark Kellogg",PF,22,IND,79,2676,19.10,0.5610,0.0180,0.2850,9.50,20.10,14.80,13.70,2.10,0.60,14.00,24.10,3.20,3.80,7.00,0.1250,1.7000,-0.1000,1.6000,2.5000
1984-1985,"Clark Kellogg",PF,23,IND,77,2449,18.90,0.5570,0.0130,0.3560,9.60,21.70,15.60,15.30,1.60,0.60,15.20,24.40,3.10,3.00,6.10,0.1190,1.9000,-0.1000,1.8000,2.3000
1985-1986,"Clark Kellogg",PF,24,IND,19,568,18.20,0.5160,0.0440,0.2350,9.80,22.20,16.10,16.00,2.30,0.80,15.80,27.80,0.00,0.90,0.90,0.0800,0.7000,0.5000,1.1000,0.5000
1986-1987,"Clark Kellogg",PF,25,IND,4,60,10.20,0.4210,0.0910,0.1820,12.50,7.40,10.00,13.60,4.00,0.00,14.40,19.30,0.00,0.10,0.10,0.0450,-3.0000,1.8000,-1.3000,0.0000
1987-1988,"Claude Gregory",PF,29,LAC,23,313,12.80,0.4470,0.0070,0.2690,12.10,20.40,16.10,8.40,1.40,2.40,12.80,22.30,-0.30,0.40,0.10,0.0110,-3.2000,-0.8000,-4.0000,-0.2000
1985-1986,"Claude Gregory",PF,27,WSB,2,2,23.00,0.5000,0.0000,0.0000,100.00,0.00,54.10,0.00,24.20,0.00,50.00,83.60,0.00,0.00,0.00,-0.6400,-15.4000,1.3000,-14.2000,0.0000
1981-1982,"Clay Johnson",SG,25,LAL,7,65,12.80,0.5520,0.0000,0.3000,13.90,6.50,10.10,13.20,2.10,2.50,23.60,18.10,0.00,0.10,0.10,0.0720,-2.9000,0.3000,-2.6000,0.0000
1982-1983,"Clay Johnson",SG,26,LAL,48,447,9.40,0.4610,0.0150,0.3560,10.40,6.90,8.50,6.10,2.30,0.50,13.80,16.00,0.20,0.30,0.60,0.0610,-2.6000,-0.8000,-3.4000,-0.2000
1983-1984,"Clay Johnson",SG,27,SEA,25,176,6.80,0.4610,0.0200,0.4400,3.90,3.90,3.90,10.50,2.20,0.60,16.70,16.90,-0.10,0.10,0.00,-0.0020,-4.5000,0.0000,-4.5000,-0.1000
1980-1981,"Clemon Johnson",C,24,IND,81,1643,15.60,0.5300,0.0020,0.4060,11.10,20.20,15.50,11.80,1.30,4.10,18.10,16.30,1.40,2.30,3.70,0.1080,-0.2000,1.2000,1.0000,1.3000
1981-1982,"Clemon Johnson",C,25,IND,79,1979,15.00,0.5160,0.0000,0.2950,9.90,21.70,15.60,9.40,1.50,3.30,16.00,18.20,0.70,3.40,4.00,0.0980,-1.3000,1.2000,-0.1000,0.9000
1982-1983,"Clemon Johnson",C,26,IND,51,1216,16.80,0.5450,0.0030,0.3060,9.70,19.00,14.10,12.40,1.90,2.90,16.30,17.50,1.50,1.10,2.50,0.1000,0.7000,0.6000,1.3000,1.0000
1982-1983,"Clemon Johnson",C,26,PHI,32,698,12.80,0.5200,0.0000,0.3190,11.80,18.80,15.50,4.40,1.10,2.30,14.80,13.80,0.70,1.10,1.80,0.1250,-0.8000,0.4000,-0.4000,0.3000
1983-1984,"Clemon Johnson",C,27,PHI,80,1721,9.10,0.4930,0.0000,0.2740,8.90,17.10,13.10,4.30,1.00,2.20,17.10,13.40,-0.20,2.30,2.20,0.0600,-3.0000,0.0000,-3.0000,-0.4000
1984-1985,"Clemon Johnson",C,28,PHI,58,875,11.90,0.5260,0.0040,0.2090,12.00,16.50,14.20,5.10,0.80,2.90,14.40,13.80,0.80,0.90,1.70,0.0950,-1.2000,0.0000,-1.2000,0.2000
1985-1986,"Clemon Johnson",C,29,PHI,75,1069,10.40,0.5050,0.0000,0.3630,11.10,15.60,13.30,1.80,1.00,3.30,12.80,11.20,0.70,1.20,2.00,0.0880,-1.8000,0.3000,-1.6000,0.1000
1986-1987,"Clemon Johnson",C,30,SEA,78,1051,10.00,0.5430,0.0110,0.6180,11.00,17.80,14.40,2.40,0.90,2.30,13.70,9.80,1.00,0.90,2.00,0.0890,-1.7000,-0.7000,-2.3000,-0.1000
1987-1988,"Clemon Johnson",C,31,SEA,74,723,7.10,0.5040,0.0000,0.3050,10.00,17.20,13.50,2.90,0.90,2.10,19.60,8.20,0.20,0.70,0.90,0.0610,-3.1000,-0.1000,-3.3000,-0.2000
1982-1983,"Clemon Johnson",C,26,TOT,83,1914,15.30,0.5370,0.0020,0.3100,10.50,18.90,14.60,9.50,1.60,2.70,15.80,16.10,2.10,2.20,4.30,0.1090,0.2000,0.5000,0.7000,1.3000
1984-1985,"Cliff Levingston",PF,24,ATL,74,2017,14.60,0.5600,0.0040,0.4020,12.70,18.00,15.40,7.10,1.70,1.90,17.00,16.00,2.00,2.80,4.70,0.1130,-0.5000,0.5000,0.0000,1.0000
1985-1986,"Cliff Levingston",PF,25,ATL,81,1945,14.70,0.5720,0.0020,0.4390,11.00,19.30,15.10,5.10,1.90,1.20,14.70,16.20,2.60,2.90,5.50,0.1360,-0.3000,0.7000,0.4000,1.2000
1986-1987,"Cliff Levingston",PF,26,ATL,82,1848,14.30,0.5570,0.0060,0.4270,12.90,18.20,15.60,2.90,1.30,2.20,10.90,14.70,3.20,2.90,6.10,0.1570,-0.1000,0.5000,0.4000,1.1000
1987-1988,"Cliff Levingston",PF,27,ATL,82,2135,15.50,0.6090,0.0040,0.4360,11.80,14.50,13.10,4.60,1.20,2.40,12.30,15.10,4.60,2.30,7.00,0.1570,0.5000,0.3000,0.8000,1.5000
1988-1989,"Cliff Levingston",PF,28,ATL,80,2184,13.40,0.5630,0.0090,0.3360,9.50,15.40,12.40,4.70,2.20,1.90,13.90,14.10,2.70,2.80,5.50,0.1210,-0.7000,0.9000,0.2000,1.2000
1989-1990,"Cliff Levingston",PF,29,ATL,75,1706,12.10,0.5400,0.0120,0.2880,7.40,14.30,10.80,6.30,1.60,1.50,9.30,12.90,2.40,2.10,3.40,0.0960,-0.7000,0.0000,-0.7000,0.5000
1982-1983,"Cliff Levingston",PF,22,DET,62,879,12.90,0.5170,0.0040,0.5440,12.00,15.50,13.70,7.80,1.20,2.20,17.90,17.90,0.50,0.90,1.30,0.0720,-1.6000,-0.5000,-2.1000,0.0000
1983-1984,"Cliff Levingston",PF,23,DET,80,1746,14.80,0.5630,0.0070,0.4270,13.70,19.70,16.60,7.60,1.20,2.50,12.90,13.10,3.20,2.10,5.30,0.1440,0.1000,0.3000,0.4000,1.1000
1981-1982,"Cliff Robinson",PF,21,CLE,30,946,18.10,0.4950,0.0020,0.3060,10.20,24.90,17.10,7.90,2.10,2.60,11.30,24.20,0.50,1.00,1.60,0.0800,0.4000,-0.2000,0.2000,0.5000
1982-1983,"Cliff Robinson",PF,22,CLE,77,2601,17.50,0.5090,0.0040,0.2450,8.10,29.90,18.70,9.30,1.20,1.30,14.10,25.60,1.20,3.20,4.40,0.0810,0.1000,-0.4000,-0.3000,1.1000
1983-1984,"Cliff Robinson",C,23,CLE,73,2402,16.60,0.4880,0.0020,0.2820,7.10,29.30,17.80,12.30,1.00,0.80,12.30,26.40,0.20,2.90,3.10,0.0620,0.2000,-0.8000,-0.6000,0.9000
1981-1982,"Cliff Robinson",PF,21,KCK,38,1229,18.50,0.4880,0.0040,0.2540,7.40,22.40,14.70,9.00,1.80,2.80,9.80,29.00,0.10,1.80,1.90,0.0740,0.2000,-0.3000,0.0000,0.6000
1980-1981,"Cliff Robinson",PF,20,NJN,63,1822,17.90,0.5210,0.0010,0.2320,7.30,22.90,14.90,9.80,1.50,1.60,13.40,29.50,0.40,2.10,2.50,0.0650,0.0000,-0.9000,-0.9000,0.5000
1986-1987,"Cliff Robinson",PF,26,PHI,55,1586,15.10,0.5030,0.0050,0.2520,6.40,15.60,11.10,9.00,2.70,1.10,13.20,24.70,0.10,2.00,2.10,0.0640,-1.3000,-0.2000,-1.5000,0.2000
1987-1988,"Cliff Robinson",SF,27,PHI,62,2110,15.70,0.5030,0.0090,0.2810,6.40,16.00,11.10,10.70,1.90,1.10,12.10,26.70,0.70,1.80,2.60,0.0590,-0.6000,-1.0000,-1.7000,0.2000
1988-1989,"Cliff Robinson",SF,28,PHI,14,416,14.10,0.5140,0.0050,0.2350,5.10,15.20,10.10,11.50,2.00,0.30,14.10,24.00,0.00,0.30,0.30,0.0330,-1.5000,-1.4000,-2.9000,-0.1000
1981-1982,"Cliff Robinson",PF,21,TOT,68,2175,18.30,0.4910,0.0030,0.2740,8.60,23.50,15.80,8.50,1.90,2.70,10.40,26.90,0.70,2.80,3.50,0.0770,0.3000,-0.2000,0.1000,1.1000
1984-1985,"Cliff Robinson",PF,24,WSB,60,1870,16.40,0.5070,0.0030,0.2380,8.10,24.50,16.10,12.00,1.30,1.40,14.00,25.60,-0.30,3.20,2.90,0.0750,-0.9000,0.2000,-0.7000,0.6000
1985-1986,"Cliff Robinson",SF,25,WSB,78,2563,18.30,0.5180,0.0030,0.2810,7.60,21.00,14.40,12.10,1.90,1.00,12.70,26.40,1.50,4.10,5.60,0.1040,0.6000,0.1000,0.7000,1.7000
1989-1990,"Clifford Lett",PG,24,CHI,4,28,-9.00,0.2500,0.0000,0.0000,0.00,0.00,0.00,4.40,0.00,0.00,20.00,15.30,-0.10,2.10,-0.10,-0.2030,-16.3000,-5.4000,-21.7000,-0.1000
1980-1981,"Clifford Ray",C,32,GSW,66,838,4.70,0.4380,0.0000,0.4080,9.50,19.40,14.40,7.50,1.40,0.90,29.20,12.00,-0.90,0.60,-0.30,-0.0180,-5.9000,0.3000,-5.6000,-0.8000
1989-1990,"Clifford Robinson",PF,23,POR,82,1565,9.30,0.4330,0.0590,0.3340,7.50,13.90,10.70,6.50,1.60,2.10,13.00,24.90,-2.00,2.10,0.30,0.0100,-4.6000,-0.4000,-5.0000,-1.2000
1985-1986,"Clint Richardson",SG,29,IND,82,2224,12.20,0.4960,0.0120,0.2000,3.40,8.80,6.10,23.20,1.20,0.20,14.50,17.30,1.20,1.90,3.10,0.0670,-0.7000,-0.3000,-1.0000,0.6000
1986-1987,"Clint Richardson",SG,30,IND,78,1396,12.80,0.5010,0.0360,0.1580,3.90,7.30,5.60,24.30,1.70,0.30,14.50,17.50,0.70,1.30,2.10,0.0710,-0.5000,0.0000,-0.5000,0.5000
1980-1981,"Clint Richardson",SG,24,PHI,77,1313,12.20,0.5260,0.0020,0.2330,7.40,7.20,7.30,15.60,1.30,0.40,17.70,19.10,0.80,1.60,2.40,0.0870,-0.6000,-0.5000,-1.1000,0.3000
1981-1982,"Clint Richardson",SG,25,PHI,77,1040,9.80,0.5030,0.0060,0.2840,6.20,6.50,6.40,13.50,1.70,0.50,18.50,17.10,0.10,1.00,1.00,0.0480,-2.2000,-0.6000,-2.8000,-0.2000
1982-1983,"Clint Richardson",SG,26,PHI,77,1755,11.40,0.4850,0.0110,0.1990,6.20,8.60,7.40,12.60,1.90,0.60,14.00,16.00,1.10,2.20,3.30,0.0900,-1.1000,0.7000,-0.4000,0.7000
1983-1984,"Clint Richardson",SG,27,PHI,69,1571,10.10,0.5030,0.0080,0.2180,4.60,7.20,6.00,14.00,1.50,0.80,16.20,16.30,0.30,1.60,1.90,0.0570,-2.1000,-0.2000,-2.2000,-0.1000
1984-1985,"Clint Richardson",SG,28,PHI,74,1531,9.10,0.5000,0.0070,0.2200,4.50,6.90,5.70,13.70,1.20,0.60,15.00,13.70,0.90,0.90,1.80,0.0580,-1.7000,-0.4000,-2.1000,0.0000
1986-1987,"Clinton Smith",SG,23,GSW,41,341,11.50,0.4780,0.0170,0.3080,8.30,9.70,9.00,17.70,1.80,0.20,16.40,18.80,0.00,0.20,0.20,0.0320,-1.3000,-0.9000,-2.2000,0.0000
1987-1988,"Clinton Wheeler",PG,28,IND,59,513,12.00,0.5070,0.0000,0.2580,4.10,4.50,4.30,26.70,3.40,0.20,26.10,16.40,-0.20,0.60,0.40,0.0390,-1.3000,0.9000,-0.4000,0.2000
1988-1989,"Clinton Wheeler",PG,29,MIA,8,143,16.50,0.6030,0.0000,0.2380,3.80,5.70,4.70,22.80,2.70,0.00,11.50,14.90,0.30,0.10,0.40,0.1460,0.6000,1.1000,1.7000,0.1000
1988-1989,"Clinton Wheeler",PG,29,POR,20,211,10.30,0.4960,0.0220,0.2220,6.00,3.70,4.90,18.80,4.20,0.00,26.70,12.30,0.00,0.20,0.20,0.0470,-2.2000,2.1000,-0.1000,0.1000
1988-1989,"Clinton Wheeler",PG,29,TOT,28,354,12.80,0.5480,0.0110,0.2300,5.10,4.50,4.80,20.40,3.60,0.00,20.00,13.40,0.30,0.30,0.60,0.0870,-1.1000,1.7000,0.6000,0.2000
1983-1984,"Clyde Drexler*",SG,21,POR,82,1408,14.50,0.4960,0.0070,0.3020,9.20,10.60,9.90,14.70,3.60,1.20,16.30,21.60,0.50,1.90,2.40,0.0830,-0.9000,1.3000,0.4000,0.8000
1984-1985,"Clyde Drexler*",SG,22,POR,80,2555,19.70,0.5340,0.0320,0.2530,9.50,11.30,10.40,24.40,3.20,1.50,14.70,23.50,4.00,3.50,7.50,0.1410,2.9000,1.4000,4.3000,4.1000
1985-1986,"Clyde Drexler*",SG,23,POR,75,2576,19.80,0.5300,0.0530,0.3340,7.50,11.00,9.30,33.30,3.50,1.00,17.70,24.40,3.50,3.10,6.70,0.1240,3.1000,1.2000,4.3000,4.1000
1986-1987,"Clyde Drexler*",SG,24,POR,82,3114,20.20,0.5520,0.0330,0.3340,8.30,10.20,9.30,26.20,3.00,1.30,13.50,23.60,6.60,3.70,10.30,0.1580,3.5000,1.4000,4.9000,5.4000
1987-1988,"Clyde Drexler*",SG,25,POR,81,3060,24.10,0.5640,0.0310,0.3500,9.20,9.60,9.40,23.50,3.10,1.00,10.90,28.00,9.30,3.90,13.20,0.2070,5.7000,1.4000,7.0000,7.0000
1988-1989,"Clyde Drexler*",SG,26,POR,78,3064,23.60,0.5550,0.0620,0.3280,9.90,11.90,10.90,22.20,3.20,1.00,11.60,27.20,8.80,3.80,12.60,0.1970,5.4000,1.1000,6.5000,6.6000
1989-1990,"Clyde Drexler*",SG,27,POR,73,2683,22.20,0.5510,0.0780,0.3170,8.30,12.30,10.30,24.80,2.50,1.20,11.00,25.50,7.30,2.10,11.60,0.2080,5.2000,2.1000,7.3000,6.3000
1980-1981,"Coby Dietrick",C,32,CHI,82,1243,11.80,0.5030,0.0190,0.3470,7.60,16.40,12.10,12.60,1.80,2.40,19.30,15.00,0.50,1.50,2.10,0.0800,-1.3000,1.5000,0.2000,0.7000
1981-1982,"Coby Dietrick",C,33,CHI,74,999,10.80,0.4960,0.0050,0.2700,7.50,13.60,10.70,11.50,2.40,1.70,16.40,11.20,0.50,1.10,1.70,0.0800,-1.3000,2.0000,0.7000,0.7000
1982-1983,"Coby Dietrick",C,34,SAS,8,34,4.90,0.1700,0.0000,0.4000,6.70,18.60,12.80,19.50,1.40,0.00,14.50,8.10,0.00,0.00,0.00,-0.0040,-4.1000,0.3000,-3.8000,0.0000
1986-1987,"Conner Henry",SG,23,BOS,36,231,8.50,0.4440,0.3010,0.1650,3.70,9.00,6.60,15.50,1.30,0.20,13.30,23.50,-0.30,0.20,-0.10,-0.0120,-3.9000,-2.3000,-6.3000,-0.2000
1987-1988,"Conner Henry",SG,24,BOS,10,81,9.50,0.5250,0.2860,0.3570,3.10,11.00,7.30,19.10,0.60,0.70,21.70,21.90,0.00,0.00,0.00,0.0160,-1.7000,-1.2000,-2.8000,0.0000
1986-1987,"Conner Henry",SG,23,HOU,18,92,0.20,0.3210,0.3330,0.3030,0.00,8.30,4.20,11.00,1.60,0.00,19.40,20.60,-0.40,0.10,-0.30,-0.1420,-8.9000,-2.2000,-11.2000,-0.2000
1987-1988,"Conner Henry",SG,24,MIL,14,145,6.20,0.3630,0.1460,0.1710,3.90,10.90,7.40,26.30,1.40,0.40,24.10,16.90,-0.30,0.10,-0.20,-0.0580,-3.3000,-0.8000,-4.1000,-0.1000
1987-1988,"Conner Henry",SG,24,SAC,15,207,17.80,0.6210,0.3830,0.3700,3.10,7.40,5.30,18.20,1.60,0.80,14.50,21.50,0.50,0.10,0.60,0.1360,2.9000,-0.8000,2.1000,0.2000
1986-1987,"Conner Henry",SG,23,TOT,54,323,6.10,0.4120,0.3090,0.1990,2.70,8.80,5.90,14.20,1.40,0.20,15.00,22.70,-0.60,0.30,-0.30,-0.0490,-5.4000,-2.3000,-7.7000,-0.5000
1987-1988,"Conner Henry",SG,24,TOT,39,433,12.40,0.5360,0.3000,0.3130,3.40,9.20,6.40,21.10,1.30,0.70,18.60,20.00,0.20,0.20,0.40,0.0490,0.0000,-0.9000,-0.9000,0.1000
1988-1989,"Corey Gaines",SG,23,NJN,32,337,9.10,0.4720,0.0780,0.2500,1.00,5.50,3.10,26.10,2.10,0.20,22.00,11.10,0.10,0.20,0.20,0.0350,-3.2000,-0.1000,-3.3000,-0.1000
1989-1990,"Corey Gaines",SG,24,PHI,9,81,6.20,0.3630,0.1670,0.3330,1.40,5.60,3.50,39.20,2.50,0.00,42.10,12.40,-0.10,2.10,-0.10,-0.0440,-3.2000,-0.4000,-3.6000,0.0000
1982-1983,"Corny Thompson",PF,22,DAL,44,520,6.00,0.3880,0.0000,0.3360,8.30,16.70,12.40,7.70,1.10,0.70,16.50,14.30,-0.40,0.30,-0.10,-0.0100,-4.8000,-1.1000,-5.9000,-0.5000
1984-1985,"Cory Blackwell",SF,21,SEA,60,551,6.40,0.3870,0.0080,0.2320,8.80,11.40,10.10,7.00,2.20,0.30,14.40,23.20,-1.50,0.50,-0.90,-0.0810,-6.0000,-1.8000,-7.9000,-0.8000
1986-1987,"Cozell McQueen",PF,25,DET,3,7,58.30,1.0000,0.0000,0.0000,47.40,74.70,61.50,0.00,0.00,8.20,0.00,17.30,0.10,0.00,0.10,0.6270,21.0000,5.1000,26.1000,0.0000
1981-1982,"Craig Dykema",SF,22,PHO,32,103,11.10,0.5250,0.1080,0.2430,3.30,9.40,6.40,20.20,0.90,0.00,14.60,19.20,0.10,0.10,0.20,0.0950,-3.3000,-0.1000,-3.4000,0.0000
1986-1987,"Craig Ehlo",SG,25,CLE,44,890,11.50,0.4830,0.1210,0.4140,6.70,12.80,9.80,14.00,2.10,1.90,17.80,15.50,0.00,1.20,1.20,0.0650,-1.6000,1.5000,-0.1000,0.4000
1987-1988,"Craig Ehlo",SG,26,CLE,79,1709,12.50,0.5180,0.1320,0.2720,6.10,12.60,9.40,17.10,2.40,1.00,16.50,16.20,0.90,2.30,3.10,0.0880,-0.8000,1.4000,0.6000,1.1000
1988-1989,"Craig Ehlo",SG,27,CLE,82,1867,13.70,0.5280,0.1910,0.2230,6.40,11.20,8.90,19.20,2.90,0.60,16.80,15.70,1.50,3.10,4.60,0.1180,-0.1000,2.1000,2.0000,1.9000
1989-1990,"Craig Ehlo",SG,28,CLE,81,2894,14.50,0.5390,0.2640,0.1970,5.60,11.40,8.50,19.50,2.20,0.50,13.60,17.70,3.30,2.10,6.50,0.1080,0.3000,0.8000,1.1000,2.3000
1983-1984,"Craig Ehlo",SG,22,HOU,7,63,8.20,0.4190,0.0000,0.0370,6.90,8.50,7.70,12.40,2.20,0.00,9.90,19.00,0.00,0.10,0.00,0.0180,-4.2000,0.0000,-4.2000,-0.1000
