Season,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1986-1987,"Cedric Maxwell",SF,31,TOT,81,1968,15.30,0.6230,0.0020,0.8200,9.40,15.10,12.10,13.90,0.90,0.40,17.30,16.00,4.00,1.40,5.40,0.1320,1.1000,-0.3000,0.8000,1.4000
1980-1981,"Cedrick Hordges",PF,24,DEN,68,1599,10.70,0.5090,0.0060,0.3880,7.50,22.10,14.60,8.00,0.90,0.60,17.60,15.80,0.50,1.00,1.50,0.0440,-2.3000,-1.0000,-3.3000,-0.5000
1981-1982,"Cedrick Hordges",PF,25,DEN,77,1372,10.40,0.5250,0.0310,0.4810,9.50,21.00,15.40,5.50,0.80,0.70,18.10,17.00,0.30,0.50,0.70,0.0260,-2.8000,-2.2000,-5.0000,-1.0000
1980-1981,"Chad Kinch",SG,22,CLE,29,247,8.00,0.4070,0.0000,0.0520,3.00,8.00,5.40,19.00,1.70,1.10,18.30,19.60,-0.40,0.10,-0.30,-0.0510,-3.7000,-0.6000,-4.2000,-0.2000
1980-1981,"Chad Kinch",SG,22,DAL,12,106,4.80,0.3750,0.0000,0.2890,0.00,10.00,4.80,13.90,0.90,0.50,13.60,23.20,-0.30,0.00,-0.30,-0.1150,-4.9000,-1.3000,-6.2000,-0.2000
1980-1981,"Chad Kinch",SG,22,TOT,41,353,7.00,0.3960,0.0000,0.1280,2.10,8.60,5.20,17.50,1.50,1.00,16.80,20.60,-0.70,0.10,-0.50,-0.0710,-4.0000,-0.8000,-4.8000,-0.3000
1984-1985,"Charles Barkley*",PF,21,PHI,82,2347,18.30,0.5990,0.0080,0.5110,12.90,20.80,16.90,9.60,1.90,2.00,17.90,20.00,4.20,3.30,7.50,0.1540,1.3000,0.4000,1.7000,2.2000
1985-1986,"Charles Barkley*",PF,22,PHI,80,2952,22.40,0.6190,0.0720,0.5550,13.40,25.40,19.40,16.00,2.80,2.40,21.30,22.40,5.40,5.50,10.80,0.1760,3.1000,2.1000,5.1000,5.3000
1986-1987,"Charles Barkley*",PF,23,PHI,68,2740,25.10,0.6600,0.1110,0.6020,16.70,24.80,20.80,19.00,2.10,2.20,21.40,23.10,7.70,4.30,12.00,0.2100,5.4000,1.3000,6.7000,6.0000
1987-1988,"Charles Barkley*",PF,24,PHI,80,3170,27.60,0.6650,0.1220,0.7410,14.00,20.80,17.40,14.10,1.60,1.90,15.20,26.70,13.40,3.30,16.70,0.2530,7.3000,0.1000,7.4000,7.5000
1988-1989,"Charles Barkley*",PF,25,PHI,79,3088,27.00,0.6530,0.1340,0.6610,14.50,21.30,17.90,16.00,2.00,1.30,14.00,24.40,13.20,2.90,16.10,0.2500,7.3000,0.2000,7.5000,7.4000
