Player,Tm,MP
Rodney McCray,SAC,3238
Michael Jordan*,CHI,3197
Reggie Miller*,IND,3192
Patrick Ewing*,NYK,3165
Tony Campbell,MIN,3164
Scottie Pippen*,CHI,3148
Hakeem Olajuwon*,HOU,3124
Karl Malone*,UTA,3122
Charles Barkley*,PHI,3085
Tom Chambers,PHO,3046
Tyrone Corbin,MIN,3011
Derek Harper,DAL,3007
David Robinson*,SAS,3002
Isiah Thomas*,DET,2993
James Worthy*,LAL,2960
Otis Thorpe,HOU,2947
Larry Bird*,BOS,2944
Wayman Tisdale,SAC,2937
Magic Johnson*,LAL,2937
Rolando Blackman,DAL,2934
