Player,Tm,MP
Maurice Cheeks*,PHI,3270
Larry Bird*,BOS,3113
Buck Williams,NJN,3070
Dominique Wilkins*,ATL,3049
Alex English*,DEN,3024
Jeff Malone,WSB,2992
Mike Mitchell,SAS,2970
Charles Barkley*,PHI,2952
Reggie Theus,SAC,2919
Bill Laimbeer,DET,2891
Alvin Robertson,SAS,2878
Vern Fleming,IND,2870
Ralph Sampson*,HOU,2864
Roy Hinson,CLE,2834
Joe Barry Carroll,GSW,2801
Kiki Vandeweghe,POR,2791
Jack Sikma*,SEA,2790
Isiah Thomas*,DET,2790
Rolando Blackman,DAL,2787
Herb Williams,IND,2770
