Player,Tm,MP
Isiah Thomas*,DET,3093
Rick Mahorn,WSB,3023
Mychal Thompson,POR,3017
Joe Barry Carroll,GSW,2988
Alex English*,DEN,2988
Larry Bird*,BOS,2982
Buck Williams,NJN,2961
Eddie Johnson,KCK,2933
Moses Malone*,PHI,2922
Larry Nance,PHO,2914
Kiki Vandeweghe,DEN,2909
Magic Johnson*,LAL,2907
Calvin Natt,POR,2879
Bill Laimbeer,DET,2871
Jeff Ruland,WSB,2862
Reggie Theus,CHI,2856
Marques Johnson,MIL,2853
Greg Ballard,WSB,2840
George Gervin*,SAS,2830
Dan Roundfield,ATL,2811
