Player,Tm,MP
Buck Williams,NJN,3182
Larry Bird*,BOS,3161
Michael Jordan*,CHI,3144
Micheal Ray Richardson,NJN,3127
Isiah Thomas*,DET,3089
Ralph Sampson*,HOU,3086
Purvis Short,GSW,3081
Eddie Johnson,KCK,3029
Dominique Wilkins*,ATL,3023
Rodney McCray,HOU,3001
Dennis Johnson*,BOS,2976
Gus Williams,WSB,2960
Moses Malone*,PHI,2957
Alex English*,DEN,2924
Tom Chambers,SEA,2923
Hakeem Olajuwon*,HOU,2914
Norm Nixon,LAC,2894
Bill Laimbeer,DET,2892
Paul Pressey,MIL,2876
Sleepy Floyd,GSW,2873
