Player,Tm,MP
Michael Jordan*,CHI,3255
Dale Ellis,SEA,3190
Kevin Johnson,PHO,3179
John Stockton*,UTA,3171
Kenny Smith,SAC,3145
Otis Thorpe,HOU,3135
Karl Malone*,UTA,3126
Terry Porter,POR,3102
Chris Mullin*,GSW,3093
Charles Barkley*,PHI,3088
Clyde Drexler*,POR,3064
Hakeem Olajuwon*,HOU,3024
Ken Norman,LAC,3020
Chuck Person,IND,3012
Tom Chambers,PHO,3002
Dominique Wilkins*,ATL,2997
Alex English*,DEN,2990
Derek Harper,DAL,2968
James Worthy*,LAL,2960
Rolando Blackman,DAL,2946
