Player,Tm,MP
Moses Malone*,HOU,3398
Adrian Dantley*,UTA,3222
Mychal Thompson,POR,3129
Kelly Tripucka,DET,3077
Mike Mitchell,TOT,3063
Jack Sikma*,SEA,3049
Micheal Ray Richardson,NYK,3044
Elvin Hayes*,HOU,3032
Norm Nixon,LAL,3024
Alex English*,DEN,3015
Magic Johnson*,LAL,2991
Sidney Moncrief*,MIL,2980
Greg Ballard,WSB,2946
Dennis Johnson*,PHO,2937
Larry Bird*,BOS,2923
Dave Greenwood,CHI,2914
Robert Reid,HOU,2913
Jamaal Wilkes*,LAL,2906
Gus Williams,SEA,2876
Bernard King*,GSW,2861
