Player,Tm,MP
Michael Jordan*,CHI,3281
Rodney McCray,HOU,3136
Clyde Drexler*,POR,3114
Alex English*,DEN,3085
Dale Ellis,SEA,3073
Ron Harper,CLE,3064
Sleepy Floyd,GSW,3064
Kevin McHale*,BOS,3060
Fat Lever,DEN,3054
Xavier McDaniel,SEA,3031
Kiki Vandeweghe,POR,3029
James Donaldson,DAL,3028
Tom Chambers,SEA,3018
Isiah Thomas*,DET,3013
Larry Bird*,BOS,3005
Robert Parish*,BOS,2995
Charles Oakley,CHI,2980
Buck Williams,NJN,2976
Dominique Wilkins*,ATL,2969
Otis Thorpe,SAC,2956
