Player,Tm,MP
Adrian Dantley*,UTA,3417
Moses Malone*,HOU,3245
Larry Bird*,BOS,3239
Mike Mitchell,CLE,3194
Micheal Ray Richardson,NYK,3175
Alex English*,DEN,3093
Truck Robinson,PHO,3088
Jamaal Wilkes*,LAL,3028
Kareem Abdul-Jabbar*,LAL,2976
Robert Reid,HOU,2963
Norm Nixon,LAL,2962
Elvin Hayes*,WSB,2931
Bill Cartwright,NYK,2925
Jack Sikma*,SEA,2920
Joe Barry Carroll,GSW,2919
Bernard King*,GSW,2914
Mike Newlin,NJN,2911
Scott Wedman,KCK,2902
Julius Erving*,PHI,2874
Darrell Griffith,UTA,2867
