Player,Tm,3PA
Michael Adams,DEN,432
Mark Price,CLE,374
Reggie Miller*,IND,362
Danny Ainge,SAC,289
Magic Johnson*,LAL,276
Dale Ellis,SEA,256
Chuck Person,IND,253
Craig Ehlo,CLE,248
Trent Tucker,NYK,245
Michael Jordan*,CHI,245
Derek Harper,DAL,240
Terry Porter,POR,238
Dana Barros,SEA,238
Sleepy Floyd,HOU,234
Chris Mullin*,GSW,234
Byron Scott,LAL,220
Darrell Griffith,UTA,215
Hersey Hawkins,PHI,200
Jack Sikma*,MIL,199
Larry Bird*,BOS,195
