Player,Tm,3PA
Larry Bird*,BOS,194
Mike Evans,DEN,176
Dale Ellis,DAL,173
World B. Free,CLE,169
Michael Cooper,LAL,163
Craig Hodges,MIL,162
John Lucas,HOU,146
Kyle Macy,CHI,141
Norm Nixon,LAC,121
Sleepy Floyd,GSW,119
Gus Williams,WSB,116
Mike McGee,LAL,114
Leon Wood,TOT,114
Sidney Moncrief*,MIL,103
Trent Tucker,NYK,91
Brad Davis,DAL,89
Leon Wood,WSB,85
Eddie Johnson,TOT,85
Isiah Thomas*,DET,84
Steve Colter,POR,83
