Player,Tm,3PA
Mike Dunleavy,SAS,194
Allen Leavell,HOU,175
Darrell Griffith,UTA,132
Isiah Thomas*,DET,125
Reggie Theus,CHI,91
Craig Hodges,SDC,90
Larry Bird*,BOS,77
Mark Aguirre,DAL,76
Kyle Macy,PHO,76
Andrew Toney,PHI,76
Ray Williams,KCK,74
Eddie Johnson,KCK,71
Brian Winters,MIL,68
Frank Johnson,WSB,61
Ricky Sobers,WSB,55
Kiki Vandeweghe,DEN,51
Butch Carter,IND,51
Micheal Ray Richardson,TOT,51
Al Wood,SDC,50
Paul Westphal*,NYK,48
