Player,Tm,3PA
Darrell Griffith,UTA,252
Michael Cooper,LAL,121
Ricky Sobers,WSB,111
Mike Evans,DEN,89
Johnny Moore,SAS,87
Walter Davis,PHO,87
Rod Foster,PHO,84
Ray Williams,NYK,81
Jeff Malone,WSB,74
Larry Bird*,BOS,73
Purvis Short,GSW,72
Allen Leavell,HOU,71
Kyle Macy,PHO,70
John Lucas,SAS,69
World B. Free,CLE,69
Isiah Thomas*,DET,65
Eddie Johnson,KCK,64
Jim Paxson,POR,59
Don Buse,KCK,59
Micheal Ray Richardson,NJN,58
