Player,Tm,3PA
Dale Ellis,SEA,240
Michael Cooper,LAL,231
Mike McGee,ATL,229
Craig Hodges,MIL,228
Larry Bird*,BOS,225
Derek Harper,DAL,212
Darrell Griffith,UTA,200
Leon Wood,NJN,200
Danny Ainge,BOS,192
Sleepy Floyd,GSW,190
Mike Evans,DEN,169
Robert Reid,HOU,162
Trent Tucker,NYK,161
Mark Aguirre,DAL,150
Jon Sundvold,SAS,149
Byron Scott,LAL,149
Tom Chambers,SEA,145
John Paxson,CHI,140
Chuck Person,IND,138
John Lucas,MIL,126
