Player,Tm,3PA
Michael Adams,DEN,379
Danny Ainge,BOS,357
Dale Ellis,SEA,259
Larry Bird*,BOS,237
Derek Harper,DAL,192
Byron Scott,LAL,179
Michael Cooper,LAL,178
Chuck Person,IND,177
Craig Hodges,TOT,175
Mark Aguirre,DAL,172
Reggie Miller*,IND,172
Trent Tucker,NYK,167
Gerald Henderson,TOT,163
John Bagley,NJN,161
Mike McGee,TOT,160
Gerald Henderson,PHI,159
Charles Barkley*,PHI,157
John Lucas,MIL,151
Richard Anderson,TOT,150
Mark Price,CLE,148
