Player,Tm,3PA
Darrell Griffith,UTA,257
World B. Free,CLE,193
Gus Williams,WSB,176
Mike Evans,DEN,157
Purvis Short,GSW,150
Sleepy Floyd,GSW,143
Craig Hodges,MIL,135
Larry Bird*,BOS,131
Rod Foster,PHO,126
Michael Cooper,LAL,123
Brad Davis,DAL,115
Micheal Ray Richardson,NJN,115
Isiah Thomas*,DET,113
Dale Ellis,DAL,109
Andrew Toney,PHI,105
Norm Nixon,LAC,99
Johnny Moore,SAS,89
Don Buse,KCK,87
Mark Aguirre,DAL,85
Kyle Macy,PHO,85
