Player,Tm,3PA
Joe Hassett,GSW,214
Don Buse,IND,189
Mike Bratz,SAS,138
Micheal Ray Richardson,NYK,101
Reggie Theus,CHI,100
Kyle Macy,PHO,100
Freeman Williams,TOT,94
Brian Winters,MIL,93
Mike Dunleavy,HOU,86
Kevin Grevey,WSB,82
Frank Johnson,WSB,79
Fred Brown,SEA,77
Ricky Sobers,CHI,76
Freeman Williams,SDC,74
Mark Aguirre,DAL,71
Chris Ford,BOS,63
Brian Taylor,SDC,63
Ron Lee,DET,59
John Douglas,SDC,59
Andrew Toney,PHI,59
