,PTS,TRB,AST,STL,BLK,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PTS,1.0,0.4000992886374704,0.379109792578515,0.43175616653207677,0.1320593865049082,0.8481590769256367,0.40355633100529836,0.8193625899719046,0.7453936701738128,0.3567746078361351,0.7236034169300483,0.5849284373074268,0.8158179718429304,-0.24925989833668202,0.6203209084877432,0.6739631416921621
TRB,0.4000992886374704,1.0,-0.1905458134078807,-0.030374571136876197,0.6425463360926238,0.44971076162895157,0.3854899205895796,0.11259632007077493,0.35821789839994445,0.5709249233279904,0.5148335834978677,0.43628579790413013,0.31386669231910386,0.17384179435384337,0.3728255584080071,0.42655065032448986
AST,0.379109792578515,-0.1905458134078807,1.0,0.7525204643041562,-0.25313798700390516,0.3214438413911562,-0.07929562399631832,0.2868339425835342,0.2615806927385575,0.17090592129621024,0.27189954674053723,0.12936339342100525,0.40982826669174804,0.023510697729047538,0.38908076814286907,0.4029657900124133
STL,0.43175616653207677,-0.030374571136876197,0.7525204643041562,1.0,-0.15439781085487245,0.4111287633587149,-0.04199778822340555,0.32094900198105675,0.2870078963313887,0.32162816037094927,0.3540789631429348,0.22974745095465607,0.43828875759539865,0.2250078779805181,0.5156929291640442,0.509163069194587
BLK,0.1320593865049082,0.6425463360926238,-0.25313798700390516,-0.15439781085487245,1.0,0.2628841027751891,0.26656771587174316,-0.0640271219931177,0.14606090057662519,0.4812435484709163,0.31339722963134586,0.2757923014889172,0.07907396555158053,0.46035762696250193,0.30494093384109877,0.3182195456753151
PER,0.8481590769256367,0.44971076162895157,0.3214438413911562,0.4111287633587149,0.2628841027751891,1.0,0.6249170178924688,0.692822674036932,0.8328524680579382,0.4335298871135461,0.8231400941894917,0.8264245806177365,0.9353779211124216,-0.01518439720469059,0.8485219413909283,0.8271922808229338
TS%,0.40355633100529836,0.3854899205895796,-0.07929562399631832,-0.04199778822340555,0.26656771587174316,0.6249170178924688,1.0,0.13145433893337574,0.664681327537621,0.26196704281079053,0.6220559602137666,0.7607392790516044,0.6083414394805198,0.032021830196775965,0.5718338710069354,0.5192471721623226
USG%,0.8193625899719046,0.11259632007077493,0.2868339425835342,0.32094900198105675,-0.0640271219931177,0.692822674036932,0.13145433893337574,1.0,0.4280478767701487,0.15681915345643327,0.39584997578227615,0.31574176468807186,0.5959240616787145,-0.3575622960144634,0.36483419272237344,0.3893750293414803
OWS,0.7453936701738128,0.35821789839994445,0.2615806927385575,0.2870078963313887,0.14606090057662519,0.8328524680579382,0.664681327537621,0.4280478767701487,1.0,0.35953846488135544,0.9210455812990056,0.832790773154568,0.887014487297091,-0.10229779156633288,0.7596401113840745,0.838190701529245
DWS,0.3567746078361351,0.5709249233279904,0.17090592129621024,0.32162816037094927,0.4812435484709163,0.4335298871135461,0.26196704281079053,0.15681915345643327,0.35953846488135544,1.0,0.6942349736711312,0.5545482436472543,0.33656636001505186,0.5809168417903576,0.5993005714773066,0.6611960584784331
WS,0.7236034169300483,0.5148335834978677,0.27189954674053723,0.3540789631429348,0.31339722963134586,0.8231400941894917,0.6220559602137666,0.39584997578227615,0.9210455812990056,0.6942349736711312,1.0,0.8739987948488417,0.8241613209637059,0.16281998027103503,0.8352573308062601,0.921619536201065
WS/48,0.5849284373074268,0.43628579790413013,0.12936339342100525,0.22974745095465607,0.2757923014889172,0.8264245806177365,0.7607392790516044,0.31574176468807186,0.832790773154568,0.5545482436472543,0.8739987948488417,1.0,0.8156194561967063,0.25358331074052815,0.8735785040976992,0.8274731018267772
OBPM,0.8158179718429304,0.31386669231910386,0.40982826669174804,0.43828875759539865,0.07907396555158053,0.9353779211124216,0.6083414394805198,0.5959240616787145,0.887014487297091,0.33656636001505186,0.8241613209637059,0.8156194561967063,1.0,-0.09999997106723937,0.8648154857423125,0.8415169444948717
DBPM,-0.24925989833668202,0.17384179435384337,0.023510697729047538,0.2250078779805181,0.46035762696250193,-0.01518439720469059,0.032021830196775965,-0.3575622960144634,-0.10229779156633288,0.5809168417903576,0.16281998027103503,0.25358331074052815,-0.09999997106723937,1.0,0.4126378568436292,0.32643676271479616
BPM,0.6203209084877432,0.3728255584080071,0.38908076814286907,0.5156929291640442,0.30494093384109877,0.8485219413909283,0.5718338710069354,0.36483419272237344,0.7596401113840745,0.5993005714773066,0.8352573308062601,0.8735785040976992,0.8648154857423125,0.4126378568436292,1.0,0.9346675046008698
VORP,0.6739631416921621,0.42655065032448986,0.4029657900124133,0.509163069194587,0.3182195456753151,0.8271922808229338,0.5192471721623226,0.3893750293414803,0.838190701529245,0.6611960584784331,0.921619536201065,0.8274731018267772,0.8415169444948717,0.32643676271479616,0.9346675046008698,1.0
