,PTS,TRB,AST,STL,BLK,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PTS,1.0,0.41333512954894397,0.347004109831778,0.4137416335008255,0.11231874450346127,0.8651854475748247,0.32962006385049897,0.8304791938387847,0.7555877060261039,0.4525261879459415,0.7572296206959189,0.5888626010165932,0.8153515637864976,-0.23985540812991835,0.625157480666237,0.6932194629015255
TRB,0.41333512954894397,1.0,-0.18685781727394515,-0.05072417681487307,0.6544384543989278,0.4311728017965243,0.311798556417837,0.1556195897806295,0.3466086550376764,0.6737766676494638,0.5252363668230263,0.4239582431534262,0.24683879199270858,0.1744891854130169,0.3109653564153963,0.37192646364795623
AST,0.347004109831778,-0.18685781727394515,1.0,0.7167591209756472,-0.24543728252930355,0.40335435191581426,0.009365908306617364,0.21318928493956243,0.4112014528583737,0.2486430697432663,0.412929228580742,0.2529514504572713,0.5388028946891421,0.11045784065377541,0.5462838627318434,0.5886003061078955
STL,0.4137416335008255,-0.05072417681487307,0.7167591209756472,1.0,-0.15264838936885208,0.47288514855825875,-0.04550091040374387,0.2737384693798637,0.39542226504689854,0.39856541041093657,0.4567374076224675,0.31502713158380224,0.5256905513581654,0.31463289643880804,0.6346728562311966,0.6491537578580808
BLK,0.11231874450346127,0.6544384543989278,-0.24543728252930355,-0.15264838936885208,1.0,0.2036643389952088,0.18366478349016163,-0.07065277566394429,0.06650669282035614,0.5684728863726622,0.2682495624343624,0.2606776405267351,-0.010857084339345348,0.4751014831695035,0.22534809441569734,0.2267533661224456
PER,0.8651854475748247,0.4311728017965243,0.40335435191581426,0.47288514855825875,0.2036643389952088,1.0,0.49990604451196563,0.725937310503067,0.8262853374682807,0.5107220511096087,0.8331662588551102,0.819458005956772,0.9261416169351229,-0.009764725491823162,0.8392632931097861,0.8341479839467836
TS%,0.32962006385049897,0.311798556417837,0.009365908306617364,-0.04550091040374387,0.18366478349016163,0.49990604451196563,1.0,0.07740795250621446,0.598745333787153,0.1989321167352214,0.5379482657695078,0.695457912483752,0.48608709556817775,0.01878854927281729,0.4523975050373113,0.4016881441492203
USG%,0.8304791938387847,0.1556195897806295,0.21318928493956243,0.2737384693798637,-0.07065277566394429,0.725937310503067,0.07740795250621446,1.0,0.43782072415541184,0.17713925527031196,0.40627344341934657,0.3034863160236441,0.6205037736104314,-0.40695759007534393,0.36432131829526565,0.4114745268841314
OWS,0.7555877060261039,0.3466086550376764,0.4112014528583737,0.39542226504689854,0.06650669282035614,0.8262853374682807,0.598745333787153,0.43782072415541184,1.0,0.4352235763222905,0.939197669960791,0.8518030130254479,0.8761074500521329,-0.06541735107321553,0.7663451939695725,0.8315830851669072
DWS,0.4525261879459415,0.6737766676494638,0.2486430697432663,0.39856541041093657,0.5684728863726622,0.5107220511096087,0.1989321167352214,0.17713925527031196,0.4352235763222905,1.0,0.7175708534451783,0.5429085173229968,0.392373671659851,0.4882183746637394,0.5981247404268666,0.6744615494517875
WS,0.7572296206959189,0.5252363668230263,0.412929228580742,0.4567374076224675,0.2682495624343624,0.8331662588551102,0.5379482657695078,0.40627344341934657,0.939197669960791,0.7175708534451783,1.0,0.8651347244963061,0.8268706597264677,0.13448313849657742,0.819976045201659,0.8999887194184574
WS/48,0.5888626010165932,0.4239582431534262,0.2529514504572713,0.31502713158380224,0.2606776405267351,0.819458005956772,0.695457912483752,0.3034863160236441,0.8518030130254479,0.5429085173229968,0.8651347244963061,1.0,0.7971471583534959,0.2285461315879054,0.8392073898439834,0.796853020760435
OBPM,0.8153515637864976,0.24683879199270858,0.5388028946891421,0.5256905513581654,-0.010857084339345348,0.9261416169351229,0.48608709556817775,0.6205037736104314,0.8761074500521329,0.392373671659851,0.8268706597264677,0.7971471583534959,1.0,-0.08295700948344865,0.8706880275755878,0.8563460943424756
DBPM,-0.23985540812991835,0.1744891854130169,0.11045784065377541,0.31463289643880804,0.4751014831695035,-0.009764725491823162,0.01878854927281729,-0.40695759007534393,-0.06541735107321553,0.4882183746637394,0.13448313849657742,0.2285461315879054,-0.08295700948344865,1.0,0.41746402846673136,0.32768691934823246
BPM,0.625157480666237,0.3109653564153963,0.5462838627318434,0.6346728562311966,0.22534809441569734,0.8392632931097861,0.4523975050373113,0.36432131829526565,0.7663451939695725,0.5981247404268666,0.819976045201659,0.8392073898439834,0.8706880275755878,0.41746402846673136,1.0,0.9426933360143039
VORP,0.6932194629015255,0.37192646364795623,0.5886003061078955,0.6491537578580808,0.2267533661224456,0.8341479839467836,0.4016881441492203,0.4114745268841314,0.8315830851669072,0.6744615494517875,0.8999887194184574,0.796853020760435,0.8563460943424756,0.32768691934823246,0.9426933360143039,1.0
