,PTS,TRB,AST,STL,BLK,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PTS,1.0,0.39024260286470297,0.2875077647870106,0.3715047570992783,0.11750466440099497,0.826517182232351,0.38664673955880025,0.7582987170790239,0.7496405454300805,0.3038921141542171,0.7011338623276926,0.5224793556254366,0.7926907964321318,-0.26243817555903304,0.5391860569178042,0.6330626978208845
TRB,0.39024260286470297,1.0,-0.2489634884600103,-0.026237284664447306,0.6355102366882114,0.424916887304244,0.36130715680942177,0.020920355448417558,0.3797960528347004,0.5293053785478838,0.5202141533266261,0.4628349612248555,0.2728074169066669,0.1683576043107154,0.3342446818896121,0.40924752769682465
AST,0.2875077647870106,-0.2489634884600103,1.0,0.6995935012240146,-0.3217379308545781,0.2520780746397795,-0.07816386190349515,0.1391474015540946,0.30880852642985773,0.19795796897297702,0.3219772849267369,0.1418671011018001,0.403601290078051,0.07439667603244407,0.3952074814273834,0.440298871748964
STL,0.3715047570992783,-0.026237284664447306,0.6995935012240146,1.0,-0.1764743510960997,0.36600850018864073,-0.02885492067519088,0.18346115723132692,0.321086819131486,0.4159023145785202,0.42687305854935476,0.2593102792395368,0.40896095996346454,0.34419210914845866,0.5555041841349516,0.586310613470235
BLK,0.11750466440099497,0.6355102366882114,-0.3217379308545781,-0.1764743510960997,1.0,0.26587187559142916,0.2899314712856812,-0.12410495683723763,0.16622484723301623,0.4646037086248413,0.3289697718082664,0.3618366063681839,0.07224728066406103,0.44666684824187797,0.3214739992830294,0.30637774345549423
PER,0.826517182232351,0.424916887304244,0.2520780746397795,0.36600850018864073,0.26587187559142916,1.0,0.6002042252191794,0.6580116734557507,0.8048523879026788,0.3851634489683384,0.7789832996153745,0.7859009096420049,0.9136762879765514,-0.004072649958279015,0.7934564122064508,0.7916077761156973
TS%,0.38664673955880025,0.36130715680942177,-0.07816386190349515,-0.02885492067519088,0.2899314712856812,0.6002042252191794,1.0,0.1063397741479213,0.6404919682485296,0.18414193371705467,0.5640390980530885,0.7055132326481792,0.5774706112182602,0.03975463545158307,0.5261407273633217,0.47175770454357663
USG%,0.7582987170790239,0.020920355448417558,0.1391474015540946,0.18346115723132692,-0.12410495683723763,0.6580116734557507,0.1063397741479213,1.0,0.3448730361100512,0.033507497451121346,0.2773489943132251,0.18867929561482072,0.5444353791310348,-0.43317095071439066,0.2231341594325969,0.27519411622217455
OWS,0.7496405454300805,0.3797960528347004,0.30880852642985773,0.321086819131486,0.16622484723301623,0.8048523879026788,0.6404919682485296,0.3448730361100512,1.0,0.3544400989263558,0.9107223504498072,0.7875664192380677,0.8584384664003053,-0.039370104764248556,0.7248583123890767,0.8241174204020396
DWS,0.3038921141542171,0.5293053785478838,0.19795796897297702,0.4159023145785202,0.4646037086248413,0.3851634489683384,0.18414193371705467,0.033507497451121346,0.3544400989263558,1.0,0.7087083418907052,0.596814288157833,0.2721007922896424,0.6410068397738553,0.6072719171696251,0.6616357394606593
WS,0.7011338623276926,0.5202141533266261,0.3219772849267369,0.42687305854935476,0.3289697718082664,0.7789832996153745,0.5640390980530885,0.2773489943132251,0.9107223504498072,0.7087083418907052,1.0,0.8578110481608978,0.7693875782032733,0.2519615314480819,0.815610586547394,0.9143894601956835
WS/48,0.5224793556254366,0.4628349612248555,0.1418671011018001,0.2593102792395368,0.3618366063681839,0.7859009096420049,0.7055132326481792,0.18867929561482072,0.7875664192380677,0.596814288157833,0.8578110481608978,1.0,0.746207620141334,0.36463832346541947,0.8614138346475939,0.8147189986575305
OBPM,0.7926907964321318,0.2728074169066669,0.403601290078051,0.40896095996346454,0.07224728066406103,0.9136762879765514,0.5774706112182602,0.5444353791310348,0.8584384664003053,0.2721007922896424,0.7693875782032733,0.746207620141334,1.0,-0.09399951831937409,0.8170731881578287,0.8067837197130695
DBPM,-0.26243817555903304,0.1683576043107154,0.07439667603244407,0.34419210914845866,0.44666684824187797,-0.004072649958279015,0.03975463545158307,-0.43317095071439066,-0.039370104764248556,0.6410068397738553,0.2519615314480819,0.36463832346541947,-0.09399951831937409,1.0,0.4968440928424861,0.3944237009264527
BPM,0.5391860569178042,0.3342446818896121,0.3952074814273834,0.5555041841349516,0.3214739992830294,0.7934564122064508,0.5261407273633217,0.2231341594325969,0.7248583123890767,0.6072719171696251,0.815610586547394,0.8614138346475939,0.8170731881578287,0.4968440928424861,1.0,0.9309444943982473
VORP,0.6330626978208845,0.40924752769682465,0.440298871748964,0.586310613470235,0.30637774345549423,0.7916077761156973,0.47175770454357663,0.27519411622217455,0.8241174204020396,0.6616357394606593,0.9143894601956835,0.8147189986575305,0.8067837197130695,0.3944237009264527,0.9309444943982473,1.0
