,PTS,TRB,AST,STL,BLK,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PTS,1.0,0.3848661190882607,0.26231513845070087,0.3576343879086013,0.15473511905564105,0.8184163830377326,0.4419344148170075,0.7916877994386463,0.762530111297758,0.3782580004119588,0.747317607619749,0.5636399801988198,0.7514675020262657,-0.22151104765352922,0.5387281896992825,0.6525049141637739
TRB,0.3848661190882607,1.0,-0.2636138337715341,-0.06271404579341801,0.6445497488616108,0.44600972116388116,0.302011629968285,0.08903121436703196,0.3836086047313709,0.631290860261929,0.556792165083232,0.44786957581506576,0.3141286115680089,0.18921320190262136,0.3772042720203161,0.45272008383072365
AST,0.26231513845070087,-0.2636138337715341,1.0,0.6200390378073801,-0.29429612802506655,0.19013242605573102,0.09555177377139162,0.08022365519832483,0.20369746845165926,0.08393815863615628,0.19060573449714735,0.10098058344114258,0.29174913851712664,0.03836800065170681,0.27569827534365876,0.30127682875692346
STL,0.3576343879086013,-0.06271404579341801,0.6200390378073801,1.0,-0.14716373124076187,0.3273060360069478,0.03254090990531968,0.24612023165441585,0.192717224292954,0.34559876315954213,0.29034973533356995,0.21231486965933474,0.2776247201744232,0.37749399462410127,0.4437228365357709,0.4555374442542469
BLK,0.15473511905564105,0.6445497488616108,-0.29429612802506655,-0.14716373124076187,1.0,0.288125277221585,0.20676738238788325,-0.04166892093311842,0.19138321857564103,0.5405968373395957,0.370309311450788,0.3390923634038702,0.1212821591625504,0.4509794935337081,0.34892638845652096,0.37704122321599803
PER,0.8184163830377326,0.44600972116388116,0.19013242605573102,0.3273060360069478,0.288125277221585,1.0,0.6566171480301235,0.6650697215887784,0.832161599931143,0.45112093313895046,0.8318057951797059,0.8508850882712362,0.9124084137725672,0.0556841272315897,0.8285984852244689,0.8238241409642959
TS%,0.4419344148170075,0.302011629968285,0.09555177377139162,0.03254090990531968,0.20676738238788325,0.6566171480301235,1.0,0.1662257907185422,0.7247929960624292,0.3047814473791272,0.6896275396845857,0.7689789723491979,0.6531497438044037,0.07846818359484427,0.6173280200807101,0.593409196995049
USG%,0.7916877994386463,0.08903121436703196,0.08022365519832483,0.24612023165441585,-0.04166892093311842,0.6650697215887784,0.1662257907185422,1.0,0.4060460176070817,0.13222995836818388,0.3691833397399121,0.2834982876276427,0.5142082837977596,-0.32620118491477,0.2737417087630143,0.3288679636279632
OWS,0.762530111297758,0.3836086047313709,0.20369746845165926,0.192717224292954,0.19138321857564103,0.832161599931143,0.7247929960624292,0.4060460176070817,1.0,0.3570158704023133,0.9243780530781551,0.8272087170923181,0.8734927524341535,-0.07071748491380093,0.7279323561845309,0.8276512102743253
DWS,0.3782580004119588,0.631290860261929,0.08393815863615628,0.34559876315954213,0.5405968373395957,0.45112093313895046,0.3047814473791272,0.13222995836818388,0.3570158704023133,1.0,0.6859955173766684,0.5750824507395228,0.31414014948088076,0.5641643343150741,0.5782885012408724,0.653689603985509
WS,0.747317607619749,0.556792165083232,0.19060573449714735,0.29034973533356995,0.370309311450788,0.8318057951797059,0.6896275396845857,0.3691833397399121,0.9243780530781551,0.6859955173766684,1.0,0.8792491219950267,0.8083334491925263,0.17596442718417396,0.8032253527806641,0.9113808663125488
WS/48,0.5636399801988198,0.44786957581506576,0.10098058344114258,0.21231486965933474,0.3390923634038702,0.8508850882712362,0.7689789723491979,0.2834982876276427,0.8272087170923181,0.5750824507395228,0.8792491219950267,1.0,0.8393992925551947,0.2960422796392727,0.8948022482525876,0.838464028000023
OBPM,0.7514675020262657,0.3141286115680089,0.29174913851712664,0.2776247201744232,0.1212821591625504,0.9124084137725672,0.6531497438044037,0.5142082837977596,0.8734927524341535,0.31414014948088076,0.8083334491925263,0.8393992925551947,1.0,-0.0576333908159206,0.8446929557276617,0.8228678381933703
DBPM,-0.22151104765352922,0.18921320190262136,0.03836800065170681,0.37749399462410127,0.4509794935337081,0.0556841272315897,0.07846818359484427,-0.32620118491477,-0.07071748491380093,0.5641643343150741,0.17596442718417396,0.2960422796392727,-0.0576333908159206,1.0,0.4852284055653861,0.37954479034357436
BPM,0.5387281896992825,0.3772042720203161,0.27569827534365876,0.4437228365357709,0.34892638845652096,0.8285984852244689,0.6173280200807101,0.2737417087630143,0.7279323561845309,0.5782885012408724,0.8032253527806641,0.8948022482525876,0.8446929557276617,0.4852284055653861,1.0,0.9241702293709849
VORP,0.6525049141637739,0.45272008383072365,0.30127682875692346,0.4555374442542469,0.37704122321599803,0.8238241409642959,0.593409196995049,0.3288679636279632,0.8276512102743253,0.653689603985509,0.9113808663125488,0.838464028000023,0.8228678381933703,0.37954479034357436,0.9241702293709849,1.0
