Player,Tm,BLK
Mark Eaton,UTA,351
Tree Rollins,ATL,277
Ralph Sampson*,HOU,197
Larry Nance,PHO,174
LaSalle Thompson,KCK,145
Roy Hinson,CLE,145
Kurt Nimphius,DAL,144
Kareem Abdul-Jabbar*,LAL,143
Joe Barry Carroll,GSW,142
Alton Lister,MIL,140
Julius Erving*,PHI,139
James Donaldson,SDC,139
Darryl Dawkins,NJN,136
Artis Gilmore*,SAS,132
Kevin McHale*,BOS,126
Buck Williams,NJN,125
Rick Mahorn,WSB,123
Thurl Bailey,UTA,122
Dave Corzine,CHI,120
Robert Parish*,BOS,116
