Player,Tm,BLK
Mark Eaton,UTA,304
Patrick Ewing*,NYK,245
Benoit Benjamin,LAC,225
Hakeem Olajuwon*,HOU,214
Manute Bol,WSB,208
Larry Nance,TOT,159
Mark West,TOT,147
Herb Williams,IND,146
Hot Rod Williams,CLE,145
Alton Lister,SEA,140
Roy Hinson,TOT,140
John Salley,DET,137
Tree Rollins,ATL,132
Michael Jordan*,CHI,131
Thurl Bailey,UTA,125
Greg Anderson,SAS,122
Mike Gminski,TOT,118
Charles Jones,WSB,113
Jawann Oldham,SAC,110
Randy Breuer,MIL,107
