Player,Tm,BLK
Mark Eaton,UTA,456
Hakeem Olajuwon*,HOU,220
Sam Bowie,POR,203
Wayne Cooper,DEN,197
Roy Hinson,CLE,173
Artis Gilmore*,SAS,173
Ralph Sampson*,HOU,168
Alton Lister,MIL,167
Tree Rollins,ATL,167
Kareem Abdul-Jabbar*,LAL,162
Bill Walton*,LAC,140
Herb Williams,IND,134
James Donaldson,LAC,130
LaSalle Thompson,KCK,128
Jawann Oldham,CHI,127
Kurt Nimphius,DAL,126
Moses Malone*,PHI,123
Kevin McHale*,BOS,120
Buck Williams,NJN,110
Julius Erving*,PHI,109
