Player,Tm,BLK
Mark Eaton,UTA,321
Manute Bol,WSB,302
Hakeem Olajuwon*,HOU,254
Benoit Benjamin,LAC,187
Alton Lister,SEA,180
Kevin McHale*,BOS,172
Hot Rod Williams,CLE,167
Charles Jones,WSB,165
Roy Hinson,PHI,161
Larry Nance,PHO,148
Patrick Ewing*,NYK,147
Robert Parish*,BOS,144
Tree Rollins,ATL,140
James Donaldson,DAL,136
LaSalle Thompson,SAC,126
Michael Jordan*,CHI,125
John Salley,DET,125
Joe Barry Carroll,GSW,123
Charles Barkley*,PHI,104
Jim Petersen,HOU,102
