Player,Tm,BLK
Hakeem Olajuwon*,HOU,376
Patrick Ewing*,NYK,327
David Robinson*,SAS,319
Manute Bol,GSW,238
Mark Eaton,UTA,201
Charles Jones,WSB,197
Benoit Benjamin,LAC,187
Mark West,PHO,184
Rik Smits,IND,169
Hot Rod Williams,CLE,167
Kevin McHale*,BOS,157
John Salley,DET,153
Andrew Lang,PHO,133
Rony Seikaly,MIA,124
Larry Nance,CLE,122
Sam Bowie,NJN,121
Charles Smith,LAC,119
Joe Barry Carroll,TOT,115
Vlade Divac*,LAL,114
Randy Breuer,TOT,108
