Player,Tm,BLK
Tree Rollins,ATL,343
Mark Eaton,UTA,275
Larry Nance,PHO,217
Artis Gilmore*,SAS,192
Kevin McHale*,BOS,192
Alton Lister,MIL,177
Herb Williams,IND,171
Kareem Abdul-Jabbar*,LAL,170
Terry Tyler,DET,160
Moses Malone*,PHI,157
Joe Barry Carroll,GSW,155
Darryl Dawkins,NJN,152
Robert Parish*,BOS,148
Harvey Catchings,MIL,148
Rick Mahorn,WSB,148
Wayne Cooper,POR,136
Julius Erving*,PHI,131
Caldwell Jones,HOU,131
Marvin Webster,NYK,131
Bill Cartwright,NYK,127
