Player,Tm,BLK
Manute Bol,WSB,397
Mark Eaton,UTA,369
Hakeem Olajuwon*,HOU,231
Wayne Cooper,DEN,227
Benoit Benjamin,LAC,206
Herb Williams,IND,184
Tree Rollins,ATL,167
Joe Barry Carroll,GSW,143
Alton Lister,MIL,142
James Donaldson,TOT,139
Kevin McHale*,BOS,134
Jawann Oldham,CHI,134
Charles Jones,WSB,133
Kareem Abdul-Jabbar*,LAL,130
Larry Nance,PHO,130
Ralph Sampson*,HOU,129
Charles Barkley*,PHI,125
Randy Breuer,MIL,116
Robert Parish*,BOS,116
Thurl Bailey,UTA,114
