Season,Top15Mean,Top15Max,Top15Min,Top15Median
1980-1981,11.393333333333333,14.3,9.2,10.9
1981-1982,11.673333333333336,15.4,9.4,12.1
1982-1983,11.506666666666666,15.1,10.1,10.9
1983-1984,10.933333333333334,14.6,9.5,10.3
1984-1985,11.259999999999998,15.7,9.0,11.0
1985-1986,10.94,15.8,9.2,10.8
1986-1987,12.046666666666669,16.9,10.0,10.8
1987-1988,12.106666666666667,21.2,9.4,10.7
1988-1989,13.013333333333334,19.8,10.4,12.2
1989-1990,13.55333333333333,19.0,11.1,12.1
