Player,Tm,FT
Michael Jordan*,CHI,833
Dominique Wilkins*,ATL,607
Moses Malone*,WSB,570
Adrian Dantley*,DET,539
Magic Johnson*,LAL,535
Tom Chambers,SEA,535
Kiki Vandeweghe,POR,467
Sleepy Floyd,GSW,462
Orlando Woolridge,NJN,438
Buck Williams,NJN,430
Charles Barkley*,PHI,429
Mark Aguirre,DAL,429
Reggie Theus,SAC,429
Kevin McHale*,BOS,428
Rolando Blackman,DAL,419
Larry Bird*,BOS,414
Otis Thorpe,SAC,413
Alex English*,DEN,411
Isiah Thomas*,DET,400
Hakeem Olajuwon*,HOU,400
