Player,Tm,DRB
Hakeem Olajuwon*,HOU,767
Robert Parish*,BOS,654
Bill Laimbeer,DET,638
Mark Eaton,UTA,616
Karl Malone*,UTA,594
Charles Barkley*,PHI,583
Moses Malone*,ATL,570
Mike Gminski,PHI,556
Brad Daugherty,CLE,551
Tom Chambers,PHO,541
Benoit Benjamin,LAC,532
Patrick Ewing*,NYK,527
Charles Oakley,NYK,518
Otis Thorpe,HOU,515
Michael Jordan*,CHI,503
Magic Johnson*,LAL,496
LaSalle Thompson,TOT,494
Michael Cage,SEA,489
Jack Sikma*,MIL,482
A.C. Green,LAL,481
