Player,Tm,FT
Karl Malone*,UTA,696
David Robinson*,SAS,613
Michael Jordan*,CHI,593
Magic Johnson*,LAL,567
Charles Barkley*,PHI,557
Tom Chambers,PHO,557
Reggie Miller*,IND,544
Chris Mullin*,GSW,505
Patrick Ewing*,NYK,502
Kevin Johnson,PHO,501
Moses Malone*,ATL,493
Dominique Wilkins*,ATL,459
Charles Smith,LAC,454
Tony Campbell,MIN,448
Terry Porter,POR,421
Bernard King*,WSB,412
Mitch Richmond*,GSW,406
Detlef Schrempf,IND,402
Kevin McHale*,BOS,393
Hersey Hawkins,PHI,387
