Player,Tm,PER
Adrian Dantley*,UTA,24.6
Larry Bird*,BOS,24.2
Kiki Vandeweghe,DEN,23.6
Mark Aguirre,DAL,23.5
Julius Erving*,PHI,22.9
Bernard King*,NYK,22.7
Magic Johnson*,LAL,22.6
Alex English*,DEN,22.2
Moses Malone*,PHI,21.8
Kareem Abdul-Jabbar*,LAL,21.3
Dan Issel*,DEN,21.1
Isiah Thomas*,DET,20.9
John Drew,UTA,20.5
Ralph Sampson*,HOU,20.1
Kevin McHale*,BOS,20.0
Terry Cummings,SDC,19.8
Rolando Blackman,DAL,19.8
Sidney Moncrief*,MIL,19.8
Jack Sikma*,SEA,19.7
Jeff Ruland,WSB,19.6
