Player,Tm,PTS
Adrian Dantley*,UTA,2452
Moses Malone*,HOU,2222
George Gervin*,SAS,2221
Kareem Abdul-Jabbar*,LAL,2095
Julius Erving*,PHI,2014
Mike Mitchell,CLE,2012
David Thompson*,DEN,1967
Alex English*,DEN,1929
Jamaal Wilkes*,LAL,1827
Bernard King*,GSW,1771
Dan Issel*,DEN,1749
Otis Birdsong,KCK,1747
Larry Bird*,BOS,1741
Mike Newlin,NJN,1688
Darrell Griffith,UTA,1671
Bill Cartwright,NYK,1646
Freeman Williams,SDC,1585
World B. Free,GSW,1565
Ray Williams,NYK,1560
Robert Parish*,BOS,1552
