Player,Tm,FTA
Moses Malone*,PHI,904
Michael Jordan*,CHI,746
Artis Gilmore*,SAS,646
Purvis Short,GSW,613
Dominique Wilkins*,ATL,603
Mark Aguirre,DAL,580
Tom Chambers,SEA,571
Calvin Natt,DEN,564
Bernard King*,NYK,552
Hakeem Olajuwon*,HOU,551
Sidney Moncrief*,MIL,548
Adrian Dantley*,UTA,545
Buck Williams,NJN,538
Orlando Woolridge,CHI,521
Derek Smith,LAC,504
Phil Hubbard,CLE,494
Isiah Thomas*,DET,493
Kevin McHale*,BOS,467
Magic Johnson*,LAL,464
Terry Cummings,MIL,463
