Player,Tm,3P
Larry Bird*,BOS,90
Michael Cooper,LAL,89
Mike McGee,ATL,86
Dale Ellis,SEA,86
Craig Hodges,MIL,85
Danny Ainge,BOS,85
Derek Harper,DAL,76
Sleepy Floyd,GSW,73
Trent Tucker,NYK,68
Darrell Griffith,UTA,67
Byron Scott,LAL,65
Leon Wood,NJN,60
Tom Chambers,SEA,54
Mark Aguirre,DAL,53
Robert Reid,HOU,53
Mike Evans,DEN,53
Kevin McKenna,NJN,52
John Paxson,CHI,52
Jon Sundvold,SAS,50
Chuck Person,IND,49
