Player,Tm,FTA
Moses Malone*,HOU,827
Adrian Dantley*,UTA,818
Dan Issel*,DEN,655
World B. Free,GSW,647
George Gervin*,SAS,642
Kelly Tripucka,DET,621
Sidney Moncrief*,MIL,573
Artis Gilmore*,CHI,552
Julius Erving*,PHI,539
Jack Sikma*,SEA,523
Bernard King*,GSW,499
Dennis Johnson*,PHO,495
John Drew,ATL,491
Cedric Maxwell,BOS,478
Ray Williams,NJN,465
Tom Chambers,SDC,458
Jeff Ruland,WSB,455
Reggie Theus,CHI,449
Mychal Thompson,POR,446
Alex English*,DEN,443
