Player,Tm,FG
Michael Jordan*,CHI,1069
Dominique Wilkins*,ATL,909
Larry Bird*,BOS,881
Karl Malone*,UTA,858
Clyde Drexler*,POR,849
Alex English*,DEN,843
Dale Ellis,SEA,764
Charles Barkley*,PHI,753
Mark Aguirre,DAL,746
Hakeem Olajuwon*,HOU,712
Byron Scott,LAL,710
Xavier McDaniel,SEA,687
Terry Cummings,MIL,675
Patrick Ewing*,NYK,656
Alvin Robertson,SAS,655
Jeff Malone,WSB,648
Fat Lever,DEN,643
Thurl Bailey,UTA,633
Otis Thorpe,SAC,622
Isiah Thomas*,DET,621
