Player,Tm,FG
Michael Jordan*,CHI,1098
Alex English*,DEN,965
Dominique Wilkins*,ATL,828
Kiki Vandeweghe,POR,808
Xavier McDaniel,SEA,806
Kevin McHale*,BOS,790
Mark Aguirre,DAL,787
Larry Bird*,BOS,786
Dale Ellis,SEA,785
Walter Davis,PHO,779
Ron Harper,CLE,734
Terry Cummings,MIL,729
Karl Malone*,UTA,728
Clyde Drexler*,POR,707
Joe Barry Carroll,GSW,690
Jeff Malone,WSB,689
Magic Johnson*,LAL,683
Hakeem Olajuwon*,HOU,677
Tom Chambers,SEA,660
James Worthy*,LAL,651
