Player,Tm,3P
Mike Bratz,CLE,57
Joe Hassett,TOT,53
Freeman Williams,SDC,48
Kevin Grevey,WSB,45
Brian Taylor,SDC,44
Joe Hassett,GSW,43
Chris Ford,BOS,36
Henry Bibby,SDC,32
Scott Wedman,KCK,25
Micheal Ray Richardson,NYK,23
Fred Brown,SEA,23
Larry Bird*,BOS,20
Stan Pietkiewicz,TOT,19
Stan Pietkiewicz,DAL,19
Don Buse,IND,19
Brian Winters,MIL,18
Reggie Theus,CHI,18
Ricky Sobers,CHI,17
Ray Williams,NYK,16
Billy Ray Bates,POR,14
