Player,Tm,STL
Rickey Green,UTA,215
Isiah Thomas*,DET,204
Gus Williams,SEA,189
T.R. Dunn,DEN,173
Maurice Cheeks*,PHI,171
Darwin Cook,NJN,164
Ray Williams,NYK,162
Lester Conner,GSW,162
Magic Johnson*,LAL,150
Larry Bird*,BOS,144
Julius Erving*,PHI,141
Fat Lever,POR,135
Butch Carter,IND,128
Darrell Walker,NYK,127
Doc Rivers,ATL,127
Kyle Macy,PHO,123
Johnny Moore,SAS,123
Jim Paxson,POR,122
Larry Drew,KCK,121
Clark Kellogg,IND,121
