Player,Tm,AST
Johnny Moore,SAS,762
Magic Johnson*,LAL,743
Maurice Cheeks*,PHI,667
Norm Nixon,LAL,652
Rickey Green,UTA,630
Geoff Huston,CLE,590
Micheal Ray Richardson,NYK,572
Isiah Thomas*,DET,565
Kelvin Ransey,POR,555
John Lucas,WSB,551
Gus Williams,SEA,549
Tiny Archibald*,BOS,541
Brad Davis,DAL,509
Ray Williams,NJN,488
Reggie Theus,CHI,476
Allen Leavell,HOU,457
Phil Ford,KCK,451
Allan Bristow,DAL,448
Larry Bird*,BOS,447
Mike Bratz,SAS,438
