Player,Tm,FT
Moses Malone*,PHI,600
George Gervin*,SAS,517
Sidney Moncrief*,MIL,499
Kiki Vandeweghe,DEN,489
Reggie Theus,CHI,434
World B. Free,TOT,430
Mark Aguirre,DAL,429
Alex English*,DEN,406
Dan Issel*,DEN,400
Jack Sikma*,SEA,400
Kelly Tripucka,DET,392
Jim Paxson,POR,388
Bill Cartwright,NYK,380
Jeff Ruland,WSB,375
Isiah Thomas*,DET,368
Artis Gilmore*,SAS,367
Tom Chambers,SDC,353
Larry Bird*,BOS,351
Billy Knight,IND,343
Calvin Natt,POR,339
