Player,Tm,ORB
Charles Barkley*,PHI,385
Moses Malone*,WSB,372
Michael Cage,LAC,371
Roy Tarpley,DAL,360
Charles Oakley,CHI,326
Dennis Rodman*,DET,318
Hakeem Olajuwon*,HOU,302
Buck Williams,NJN,298
Otis Thorpe,SAC,279
Karl Malone*,UTA,277
Clyde Drexler*,POR,261
James Donaldson,DAL,247
Patrick Ewing*,NYK,245
Mike Gminski,TOT,245
A.C. Green,LAL,245
Kevin Willis,ATL,235
Rodney McCray,HOU,232
Mark Eaton,UTA,230
Cliff Levingston,ATL,228
Kevin Duckworth,POR,224
