Player,Tm,VORP
Michael Jordan*,CHI,10.6
Magic Johnson*,LAL,8.9
John Stockton*,UTA,8.0
Charles Barkley*,PHI,8.0
David Robinson*,SAS,6.8
Karl Malone*,UTA,6.6
Clyde Drexler*,POR,6.3
Hakeem Olajuwon*,HOU,6.2
Patrick Ewing*,NYK,6.0
Larry Bird*,BOS,5.5
Terry Porter,POR,5.4
Dominique Wilkins*,ATL,5.4
Chris Mullin*,GSW,5.0
Derek Harper,DAL,5.0
Kevin Johnson,PHO,4.9
Fat Lever,DEN,4.9
Mark Price,CLE,4.9
Reggie Miller*,IND,4.8
James Worthy*,LAL,4.3
Kevin McHale*,BOS,3.8
