Player,Tm,TOV
Ralph Sampson*,HOU,326
Reggie Theus,KCK,307
Magic Johnson*,LAL,305
Isiah Thomas*,DET,302
Michael Jordan*,CHI,291
Moses Malone*,PHI,286
Norm Nixon,LAC,273
Herb Williams,IND,265
Tom Chambers,SEA,260
Mark Aguirre,DAL,253
Sleepy Floyd,GSW,251
Alex English*,DEN,251
Micheal Ray Richardson,NJN,249
Larry Bird*,BOS,248
Paul Pressey,MIL,247
Darrell Griffith,UTA,247
Eddie Johnson,ATL,244
Purvis Short,GSW,241
Artis Gilmore*,SAS,241
Buck Williams,NJN,238
