Player,Tm,FTA
Michael Jordan*,CHI,972
Dominique Wilkins*,ATL,742
Moses Malone*,WSB,692
Adrian Dantley*,DET,664
Magic Johnson*,LAL,631
Tom Chambers,SEA,630
Buck Williams,NJN,588
Hakeem Olajuwon*,HOU,570
Charles Barkley*,PHI,564
Ron Harper,CLE,564
Orlando Woolridge,NJN,564
Mark Aguirre,DAL,557
Otis Thorpe,SAC,543
Karl Malone*,UTA,540
Sleepy Floyd,GSW,537
Kiki Vandeweghe,POR,527
Isiah Thomas*,DET,521
Kevin McHale*,BOS,512
Reggie Theus,SAC,495
Larry Nance,PHO,493
