Player,Tm,TOV
Isiah Thomas*,DET,299
Adrian Dantley*,UTA,299
Moses Malone*,HOU,294
Micheal Ray Richardson,NYK,291
Ray Williams,NJN,290
Magic Johnson*,LAL,286
Kelly Tripucka,DET,280
Reggie Theus,CHI,277
Bernard King*,GSW,267
Alex English*,DEN,261
Larry Bird*,BOS,254
Mychal Thompson,POR,245
Rich Kelley,PHO,244
Norm Nixon,LAL,238
Jeff Ruland,WSB,237
Buck Williams,NJN,235
Dennis Johnson*,PHO,233
Kareem Abdul-Jabbar*,LAL,230
Kelvin Ransey,POR,229
Artis Gilmore*,CHI,227
