Player,Tm,PER
Michael Jordan*,CHI,31.7
Larry Bird*,BOS,27.8
Charles Barkley*,PHI,27.6
Clyde Drexler*,POR,24.1
Dominique Wilkins*,ATL,23.7
Hakeem Olajuwon*,HOU,23.4
John Stockton*,UTA,23.2
Magic Johnson*,LAL,23.1
Kevin McHale*,BOS,21.9
Mark Aguirre,DAL,21.9
Patrick Ewing*,NYK,21.9
Moses Malone*,WSB,21.1
Karl Malone*,UTA,20.7
Fat Lever,DEN,20.5
Larry Nance,PHO,20.5
Doc Rivers,ATL,20.4
Larry Nance,TOT,20.3
Larry Nance,CLE,19.9
Adrian Dantley*,DET,19.9
Alex English*,DEN,19.8
