Player,Tm,PER
Michael Jordan*,CHI,31.1
Charles Barkley*,PHI,27.0
Magic Johnson*,LAL,26.9
Hakeem Olajuwon*,HOU,25.2
Karl Malone*,UTA,24.4
Clyde Drexler*,POR,23.6
John Stockton*,UTA,22.9
Patrick Ewing*,NYK,22.1
Chris Mullin*,GSW,21.9
Dominique Wilkins*,ATL,21.8
Robert Parish*,BOS,21.6
Moses Malone*,ATL,21.2
Mark Price,CLE,20.6
Fat Lever,DEN,20.6
Kevin Johnson,PHO,20.5
Kevin McHale*,BOS,20.3
Larry Nance,CLE,19.9
Ron Harper,CLE,19.8
Dale Ellis,SEA,19.7
Terry Cummings,MIL,19.7
