Player,Tm,TRB
Bill Laimbeer,DET,1075
Charles Barkley*,PHI,1026
Buck Williams,NJN,986
Ralph Sampson*,HOU,879
Moses Malone*,PHI,872
Larry Smith,GSW,856
Larry Bird*,BOS,805
James Donaldson,TOT,795
Hakeem Olajuwon*,HOU,781
LaSalle Thompson,SAC,770
Robert Parish*,BOS,770
Jack Sikma*,SEA,748
Karl Malone*,UTA,718
Herb Williams,IND,710
Kevin Willis,ATL,704
Terry Cummings,MIL,694
Sam Perkins,DAL,685
Cliff Robinson,WSB,680
Mark Eaton,UTA,675
Joe Barry Carroll,GSW,670
