Player,Tm,TRB
Bill Laimbeer,DET,1003
Buck Williams,NJN,1000
Moses Malone*,PHI,950
Jeff Ruland,WSB,922
Ralph Sampson*,HOU,913
Jack Sikma*,SEA,911
Robert Parish*,BOS,857
Larry Bird*,BOS,796
Dave Greenwood,CHI,786
Terry Cummings,SDC,777
Cliff Robinson,CLE,753
Rick Mahorn,WSB,738
Maurice Lucas,PHO,725
Dan Roundfield,ATL,721
Clark Kellogg,IND,719
LaSalle Thompson,KCK,709
Mychal Thompson,POR,688
Larry Nance,PHO,678
Larry Smith,GSW,672
Artis Gilmore*,SAS,662
