Player,Tm,FGA
Michael Jordan*,CHI,1964
Patrick Ewing*,NYK,1673
Dominique Wilkins*,ATL,1672
Karl Malone*,UTA,1627
Tom Chambers,PHO,1617
Hakeem Olajuwon*,HOU,1609
Jeff Malone,WSB,1592
Tony Campbell,MIN,1581
Terry Cummings,SAS,1532
Larry Bird*,BOS,1517
Bernard King*,WSB,1459
Wayman Tisdale,SAC,1383
Clyde Drexler*,POR,1357
Isiah Thomas*,DET,1322
David Robinson*,SAS,1300
James Worthy*,LAL,1298
Alex English*,DEN,1293
Mitch Richmond*,GSW,1287
Reggie Miller*,IND,1287
Fat Lever,DEN,1283
