Player,Tm,BLK
Manute Bol,GSW,345
Mark Eaton,UTA,315
Hakeem Olajuwon*,HOU,282
Patrick Ewing*,NYK,281
Benoit Benjamin,LAC,221
Wayne Cooper,DEN,211
Larry Nance,CLE,206
Mark West,PHO,187
Alton Lister,SEA,180
Rik Smits,IND,151
Hot Rod Williams,CLE,134
Herb Williams,TOT,134
Roy Hinson,NJN,121
Robert Parish*,BOS,116
Mike Gminski,PHI,106
Billy Thompson,MIA,105
Greg Anderson,SAS,103
Moses Malone*,ATL,100
Bill Laimbeer,DET,100
Jon Koncak,ATL,98
