Player,Tm,WS
Michael Jordan*,CHI,19.0
Charles Barkley*,PHI,17.3
Magic Johnson*,LAL,16.5
Karl Malone*,UTA,15.9
David Robinson*,SAS,15.1
John Stockton*,UTA,14.4
Patrick Ewing*,NYK,13.5
Reggie Miller*,IND,12.1
Terry Porter,POR,11.7
Kevin Johnson,PHO,11.6
Clyde Drexler*,POR,11.6
Tom Chambers,PHO,11.2
Hakeem Olajuwon*,HOU,11.2
Kevin McHale*,BOS,11.1
Dominique Wilkins*,ATL,11.1
James Worthy*,LAL,10.6
Chris Mullin*,GSW,10.2
Bill Laimbeer,DET,10.1
Mark Price,CLE,10.1
Derek Harper,DAL,9.9
