Player,Tm,3P
Darrell Griffith,UTA,92
World B. Free,CLE,71
Mike Evans,DEN,57
Larry Bird*,BOS,56
Gus Williams,WSB,51
Craig Hodges,MIL,47
Brad Davis,DAL,47
Purvis Short,GSW,47
Dale Ellis,DAL,42
Sleepy Floyd,GSW,42
Rod Foster,PHO,41
Andrew Toney,PHI,39
Michael Cooper,LAL,35
Norm Nixon,LAC,33
Don Buse,KCK,31
Micheal Ray Richardson,NJN,29
Trent Tucker,NYK,29
Isiah Thomas*,DET,29
Mark Aguirre,DAL,27
Byron Scott,LAL,26
