Player,Tm,TRB
Moses Malone*,PHI,1194
Buck Williams,NJN,1027
Bill Laimbeer,DET,993
Artis Gilmore*,SAS,984
Dan Roundfield,ATL,880
Jeff Ruland,WSB,871
Larry Bird*,BOS,870
Clark Kellogg,IND,860
Jack Sikma*,SEA,858
Cliff Robinson,CLE,856
Robert Parish*,BOS,827
Maurice Lucas,PHO,799
Rick Mahorn,WSB,779
Dave Greenwood,CHI,765
Mychal Thompson,POR,753
Terry Cummings,SDC,744
Tree Rollins,ATL,743
Dave Corzine,CHI,717
Larry Nance,PHO,710
Joe Barry Carroll,GSW,688
