Player,Tm,FG
Mark Aguirre,DAL,925
Alex English*,DEN,907
Kiki Vandeweghe,DEN,895
Adrian Dantley*,UTA,802
Bernard King*,NYK,795
Mike Mitchell,SAS,779
George Gervin*,SAS,765
Larry Bird*,BOS,758
Eddie Johnson,KCK,753
Terry Cummings,SDC,737
Rolando Blackman,DAL,721
Ralph Sampson*,HOU,716
Kareem Abdul-Jabbar*,LAL,716
Purvis Short,GSW,714
Darrell Griffith,UTA,697
Dominique Wilkins*,ATL,684
Jim Paxson,POR,680
Julius Erving*,PHI,678
Isiah Thomas*,DET,669
Joe Barry Carroll,GSW,663
