Player,Tm,FTA
Adrian Dantley*,UTA,796
Moses Malone*,PHI,784
Dominique Wilkins*,ATL,705
Kiki Vandeweghe,POR,602
Alex English*,DEN,593
Sidney Moncrief*,MIL,580
Charles Barkley*,PHI,578
Cedric Maxwell,LAC,562
Hakeem Olajuwon*,HOU,538
Roy Hinson,CLE,506
Joe Barry Carroll,GSW,501
Larry Bird*,BOS,492
Reggie Theus,SAC,490
World B. Free,CLE,486
Rolando Blackman,DAL,483
Artis Gilmore*,SAS,482
Isiah Thomas*,DET,462
Orlando Woolridge,CHI,462
Mark Aguirre,DAL,451
Buck Williams,NJN,445
