Player,Tm,ORB
Moses Malone*,HOU,474
Larry Smith,GSW,433
Swen Nater,SDC,295
Joe Barry Carroll,GSW,274
Alex English*,DEN,273
Bill Laimbeer,CLE,266
Kenny Carr,CLE,260
Robert Parish*,BOS,245
Julius Erving*,PHI,244
Dave Greenwood,CHI,243
Phil Hubbard,DET,236
Kermit Washington,POR,236
Elvin Hayes*,WSB,235
Reggie King,KCK,235
Dan Roundfield,ATL,231
Dan Issel*,DEN,229
Dave Corzine,SAS,228
Marques Johnson,MIL,225
Mychal Thompson,POR,223
Cedric Maxwell,BOS,222
