Player,Tm,FT
Adrian Dantley*,UTA,630
Moses Malone*,PHI,617
Dominique Wilkins*,ATL,577
Kiki Vandeweghe,POR,523
Alex English*,DEN,511
Sidney Moncrief*,MIL,498
Cedric Maxwell,LAC,447
Larry Bird*,BOS,441
Reggie Theus,SAC,405
Rolando Blackman,DAL,404
Charles Barkley*,PHI,396
Kelly Tripucka,DET,380
World B. Free,CLE,379
Magic Johnson*,LAL,378
Joe Barry Carroll,GSW,377
Isiah Thomas*,DET,365
Orlando Woolridge,CHI,364
Roy Hinson,CLE,364
Jack Sikma*,SEA,355
Sleepy Floyd,GSW,351
