Player,Tm,3PA
Michael Adams,DEN,466
Dale Ellis,SEA,339
Danny Ainge,TOT,305
Trent Tucker,NYK,296
Harold Pressley,SAC,295
Sleepy Floyd,HOU,292
Johnny Newman,NYK,287
Derek Harper,DAL,278
Mike McGee,NJN,255
Reggie Miller*,IND,244
Mark Jackson,NYK,240
Terry Porter,POR,219
Jack Sikma*,MIL,216
Mark Price,CLE,211
Michael Cooper,LAL,210
Chuck Person,IND,205
Darrell Griffith,UTA,196
Byron Scott,LAL,193
Rex Chapman,CHH,191
Magic Johnson*,LAL,188
