Player,Tm,AST
John Stockton*,UTA,1128
Mark Jackson,NYK,868
Magic Johnson*,LAL,858
Terry Porter,POR,831
Doc Rivers,ATL,747
Nate McMillan,SEA,702
Isiah Thomas*,DET,678
Fat Lever,DEN,639
Maurice Cheeks*,PHI,635
Derek Harper,DAL,634
Dennis Johnson*,BOS,598
Vern Fleming,IND,568
Alvin Robertson,SAS,557
Sleepy Floyd,TOT,544
Jeff Hornacek,PHO,540
Paul Pressey,MIL,523
Michael Adams,DEN,503
Danny Ainge,BOS,503
Michael Jordan*,CHI,485
Mark Price,CLE,480
